Date,U.S. Ending Stocks excluding SPR of Crude Oil and Petroleum Products (Thousand Barrels),
Jun-2011,1059644,
Jul-2011,1074990,
Aug-2011,1076529,
Sep-2011,1062175,
Oct-2011,1050255,
Nov-2011,1050236,
Dec-2011,1029191,
Jan-2012,1048124,
Feb-2012,1043351,
Mar-2012,1059899,
Apr-2012,1061543,
May-2012,1074890,
Jun-2012,1087730,
Jul-2012,1090285,
Aug-2012,1078281,
Sep-2012,1097523,
Oct-2012,1087669,
Nov-2012,1087619,
Dec-2012,1083288,
Jan-2013,1085201,
Feb-2013,1063775,
Mar-2013,1066518,
Apr-2013,1081037,
May-2013,1090593,
Jun-2013,1092981,
Jul-2013,1091681,
Aug-2013,1095878,
Sep-2013,1105459,
Oct-2013,1081514,
Nov-2013,1060495,
Dec-2013,1031916,
Jan-2014,1018583,
Feb-2014,1019875,
Mar-2014,1028021,
Apr-2014,1058452,
May-2014,1090563,
Jun-2014,1094336,
Jul-2014,1098391,
Aug-2014,1104092,
Sep-2014,1117202,
Oct-2014,1110795,
Nov-2014,1120163,
Dec-2014,1134482,
Jan-2015,1156464,
Feb-2015,1156888,
Mar-2015,1190114,
Apr-2015,1216148,
May-2015,1236114,
Jun-2015,1244707,
Jul-2015,1241236,
Aug-2015,1263240,
Sep-2015,1272581,
Oct-2015,1280128,
Nov-2015,1294099,
Dec-2015,1286903,
Jan-2016,1318541,
Feb-2016,1322842,
Mar-2016,1329233,
Apr-2016,1340071,
May-2016,1355428,
Jun-2016,1354343,
Jul-2016,1371395,
Aug-2016,1371257,
Sep-2016,1356127,
Oct-2016,1357926,
Nov-2016,1361141,
Dec-2016,1334490,
Jan-2017,1357609,
Feb-2017,1354286,
Mar-2017,1338927,
Apr-2017,1339563,
May-2017,1349478,
Jun-2017,1330709,
Jul-2017,1319576,
Aug-2017,1308417,
Sep-2017,1304140,
Oct-2017,1272249,
Nov-2017,1262034,
Dec-2017,1231739,
Jan-2018,1218372,
Feb-2018,1213564,
Mar-2018,1198628,
Apr-2018,1203730,
May-2018,1212902,
Jun-2018,1209191,
Jul-2018,1214612,
Aug-2018,1233813,
Sep-2018,1273182,
Oct-2018,1263809,
Nov-2018,1262190,
Dec-2018,1264101,
Jan-2019,1262855,
Feb-2019,1244224,
Mar-2019,1240896,
Apr-2019,1259344,
May-2019,1305413,
Jun-2019,1303575,
Jul-2019,1308940,
Aug-2019,1301564,
Sep-2019,1298921,
Oct-2019,1286465,
Nov-2019,1283908,
Dec-2019,1281637,
Jan-2020,1298675,
Feb-2020,1279407,
,,
