Month,World,OPEC,non-OPEC
2007-08-01,72591.265,30929.901,41661.364
2007-09-01,73245.77,31567.076,41678.694
2007-10-01,73972.654,31752.669,42219.985
2007-11-01,73706.196,31587.358,42118.838
2007-12-01,74316.723,32272.932,42043.791
2008-01-01,74505.062,32390.552,42114.51
2008-02-01,74594.113,32472.88,42121.233
2008-03-01,74820.147,32673.076,42147.071
2008-04-01,74249.11,32384.359,41864.751
2008-05-01,74567.636,32684.012,41883.624
2008-06-01,74575.042,32816.66,41758.382
2008-07-01,75308.804,33190.753,42118.051
2008-08-01,74215.153,33008.798,41206.355
2008-09-01,73215.885,32716.225,40499.66
2008-10-01,74215.554,32755.112,41460.442
2008-11-01,74048.374,32063.212,41985.162
2008-12-01,73280.122,31435.146,41844.976
2009-01-01,72328.16,30435.184,41892.976
2009-02-01,72816.909,30334.503,42482.406
2009-03-01,72682.697,30343.862,42338.835
2009-04-01,72909.8,30560.203,42349.597
2009-05-01,72491.139,30613.077,41878.062
2009-06-01,72652.578,30723.322,41929.256
2009-07-01,73542.079,30980.587,42561.492
2009-08-01,73020.616,31087.351,41933.265
2009-09-01,73473.941,31042.564,42431.377
2009-10-01,73903.625,31091.295,42812.33
2009-11-01,74002.229,31132.855,42869.374
2009-12-01,73701.016,31117.669,42583.347
2010-01-01,73862.485,31016.627,42845.858
2010-02-01,74363.702,31270.692,43093.01
2010-03-01,74714.255,31313.105,43401.15
2010-04-01,74655.532,31431.373,43224.159
2010-05-01,74796.917,31432.158,43364.759
2010-06-01,74866.838,32056.108,42810.73
2010-07-01,75059.395,31986.216,43073.179
2010-08-01,74925.777,31956.825,42968.952
2010-09-01,75258.854,31976.342,43282.512
2010-10-01,75106.887,31462.911,43643.976
2010-11-01,75576.153,31610.141,43966.012
2010-12-01,75513.247,31635.94,43877.307
2011-01-01,76153.563,32241.659,43911.904
2011-02-01,75305.968,31793.426,43512.542
2011-03-01,74267.789,30584.502,43683.287
2011-04-01,74089.884,30630.614,43459.27
2011-05-01,73455.578,30752.853,42702.725
2011-06-01,74250.404,31410.501,42839.903
2011-07-01,74689.259,31687.328,43001.931
2011-08-01,75119.095,31781.188,43337.907
2011-09-01,74456.499,31833.608,42622.891
2011-10-01,74964.385,31529.122,43435.263
2011-11-01,75963.773,32381.824,43581.949
2011-12-01,76340.121,32344.151,43995.97
2012-01-01,76537.747,32615.004,43922.743
2012-02-01,76785.262,32902.455,43882.807
2012-03-01,76590.763,33135.22,43455.543
2012-04-01,76908.656,33409.071,43499.585
2012-05-01,76190.943,32997.522,43193.421
2012-06-01,76009.166,33075.29,42933.876
2012-07-01,76202.057,32982.091,43219.966
2012-08-01,76179.897,33156.778,43023.119
2012-09-01,75639.68,32881.981,42757.699
2012-10-01,76260.132,32375.295,43884.837
2012-11-01,76793.952,32361.008,44432.944
2012-12-01,76709.799,31989.874,44719.925
2013-01-01,76077.32,31659.997,44417.323
2013-02-01,75867.167,31601.123,44266.044
2013-03-01,76077.457,31768.476,44308.981
2013-04-01,76471.997,32231.715,44240.282
2013-05-01,76347.343,32159.991,44187.352
2013-06-01,76438.411,32076.471,44361.94
2013-07-01,76943.653,32225.781,44717.872
2013-08-01,76706.991,32198.824,44508.167
2013-09-01,76231.656,31440.939,44790.717
2013-10-01,76499.086,31486.524,45012.562
2013-11-01,76797.174,30980.362,45816.812
2013-12-01,77181.412,31195.279,45986.133
2014-01-01,77512.496,31701.136,45811.36
2014-02-01,77987.895,31824.139,46163.756
2014-03-01,77415.651,31277.257,46138.394
2014-04-01,77159.907,31105.822,46054.085
2014-05-01,77381.601,31386.294,45995.307
2014-06-01,77731.605,31374.238,46357.367
2014-07-01,77948.056,31640.701,46307.355
2014-08-01,78218.835,31957.661,46261.174
2014-09-01,78989.724,32299.121,46690.603
2014-10-01,79937.536,32627.102,47310.434
2014-11-01,79723.178,32090.196,47632.982
2014-12-01,80636.396,32342.965,48293.431
2015-01-01,79914.412,31964.785,47949.627
2015-02-01,79818.994,31851.72,47967.274
2015-03-01,80724.849,32597.472,48127.377
2015-04-01,80381.602,32848.606,47532.996
2015-05-01,80295.154,33060.59,47234.564
2015-06-01,80726.231,33451.767,47274.464
2015-07-01,81299.865,33615.984,47683.881
2015-08-01,81008.881,33309.197,47699.684
2015-09-01,80880.853,33604.575,47276.278
2015-10-01,80845.233,33341.008,47504.225
2015-11-01,81472.407,33538.865,47933.542
2015-12-01,81701.294,33580.938,48120.356
2016-01-01,81708.77,33882.027,47826.743
2016-02-01,80887.503,33459.852,47427.651
2016-03-01,80801.34,33640.26,47161.08
